City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Chokurdakh,RU,2022-09-10 23:13:57,70.6333,147.9167,41.05,88,100,4.54
152,Constitucion,CL,2022-09-10 23:13:58,-35.3333,-72.4167,48.99,78,0,2.39
153,Amahai,ID,2022-09-10 23:13:58,-3.3333,128.9167,77.76,84,100,2.19
154,Hirado,JP,2022-09-10 23:13:59,33.3597,129.5531,81.39,86,70,14.05
155,Cervo,ES,2022-09-10 23:13:59,43.6702,-7.4101,62.96,80,0,3.15
156,Korla,CN,2022-09-10 23:13:59,41.7597,86.1469,76.21,22,1,11.86
157,De Aar,ZA,2022-09-10 23:14:00,-30.6497,24.0123,57.6,49,65,6.69
158,Pachino,IT,2022-09-10 23:14:00,36.7186,15.0907,78.8,70,0,4.36
159,Da Lat,VN,2022-09-10 23:14:01,11.9465,108.4419,57.2,93,80,1.28
160,Basco,PH,2022-09-10 23:14:01,20.4487,121.9702,82.13,78,100,22.41
161,Kahului,US,2022-09-10 23:14:02,20.8947,-156.47,89.62,63,40,24.16
162,College,US,2022-09-10 23:14:02,64.8569,-147.8028,52.12,77,75,16.11
163,Salalah,OM,2022-09-10 23:14:02,17.0151,54.0924,78.89,89,75,4.61
164,Batsfjord,NO,2022-09-10 23:14:03,70.6345,29.7185,46.33,93,100,11.5
165,Dinhata,IN,2022-09-10 23:14:03,26.1333,89.4667,79.27,88,90,3.42
166,Namibe,AO,2022-09-10 23:14:04,-15.1961,12.1522,64.89,92,65,4.79
167,Caravelas,BR,2022-09-10 23:14:04,-17.7125,-39.2481,71.42,73,5,9.73
168,Khatanga,RU,2022-09-10 23:14:05,71.9667,102.5,30.51,95,100,8.14
169,Sao Felix Do Xingu,BR,2022-09-10 23:14:05,-6.6447,-51.995,82.62,30,2,0.58
170,Port-Gentil,GA,2022-09-10 23:14:05,-0.7193,8.7815,75.51,88,100,13.94
171,Bonavista,CA,2022-09-10 23:14:06,48.6499,-53.1147,56.77,84,100,30.24
172,Pedernales,DO,2022-09-10 23:14:06,18.0384,-71.744,84.51,73,85,9.48
173,Ankang,CN,2022-09-10 23:14:07,32.68,109.0172,65.03,92,0,1.1
174,Tromso,NO,2022-09-10 23:14:07,69.6496,18.957,48.22,87,75,8.05
175,Vestmannaeyjar,IS,2022-09-10 23:14:08,63.4427,-20.2734,53.1,90,100,11.05
176,Port Shepstone,ZA,2022-09-10 23:14:08,-30.7414,30.455,66.49,90,2,16.35
177,Bardiyah,LY,2022-09-10 23:14:08,31.7561,25.0865,77.04,82,0,12.15
178,Cidreira,BR,2022-09-10 23:14:09,-30.1811,-50.2056,53.56,65,0,10.69
179,Nemuro,JP,2022-09-10 23:14:09,43.3236,145.575,62.38,67,0,5.1
180,Hailar,CN,2022-09-10 23:14:10,49.2,119.7,63.25,39,70,4.05
181,Iqaluit,CA,2022-09-10 23:14:10,63.7506,-68.5145,42.53,93,100,12.66
182,Henties Bay,NA,2022-09-10 23:14:10,-22.116,14.2845,55.98,91,1,5.75
183,President Roxas,PH,2022-09-10 23:14:11,7.1544,125.0558,75.58,89,100,1.03
184,Luderitz,NA,2022-09-10 23:14:11,-26.6481,15.1594,59.41,69,27,14.7
185,Poronaysk,RU,2022-09-10 23:15:12,49.2167,143.1167,63.81,57,0,3.31
186,San Patricio,US,2022-09-10 23:15:12,28.017,-97.5169,91.35,49,22,12.57
187,Qaanaaq,GL,2022-09-10 23:15:13,77.484,-69.3632,36.88,98,100,8.37
188,Ternate,ID,2022-09-10 23:15:13,0.8,127.4,79.45,80,97,4.23
189,Vao,NC,2022-09-10 23:15:14,-22.6667,167.4833,73.58,82,2,5.59
190,Vanimo,PG,2022-09-10 23:15:14,-2.6741,141.3028,79.56,85,100,3.15
191,Lorengau,PG,2022-09-10 23:15:14,-2.0226,147.2712,81.64,80,50,9.28
192,Tottori,JP,2022-09-10 23:11:04,35.5,134.2333,77.0,79,99,1.01
193,Misratah,LY,2022-09-10 23:15:15,32.3754,15.0925,81.46,57,1,10.98
194,Bilma,NE,2022-09-10 23:15:16,18.6853,12.9164,90.28,15,13,5.17
195,Kargasok,RU,2022-09-10 23:15:16,59.0556,80.8572,43.41,98,100,5.03
196,Bambous Virieux,MU,2022-09-10 23:15:17,-20.3428,57.7575,70.05,78,40,9.22
197,Port Hardy,CA,2022-09-10 23:15:17,50.6996,-127.4199,62.78,72,20,5.75
198,Chandbali,IN,2022-09-10 23:15:17,20.7833,86.7667,78.98,92,100,11.3
199,Ibra,OM,2022-09-10 23:15:18,22.6906,58.5334,80.44,53,95,2.93
200,Dabola,GN,2022-09-10 23:15:18,10.75,-11.1167,68.59,97,96,1.7
201,Padang,ID,2022-09-10 23:15:19,-0.9492,100.3543,76.68,87,100,3.24
202,Kruisfontein,ZA,2022-09-10 23:15:19,-34.0033,24.7314,55.92,72,57,15.86
203,Tasiilaq,GL,2022-09-10 23:15:20,65.6145,-37.6368,39.36,79,8,1.83
204,Cascais,PT,2022-09-10 23:15:20,38.6979,-9.4215,70.93,72,0,8.99
205,Charcas,MX,2022-09-10 23:15:21,23.1333,-101.1167,71.89,45,100,6.22
206,Tukrah,LY,2022-09-10 23:15:21,32.5341,20.5791,77.16,70,0,3.06
207,Keetmanshoop,NA,2022-09-10 23:15:22,-26.5833,18.1333,68.88,14,20,2.89
208,Laukaa,RU,2022-09-10 23:15:22,58.7372,29.8453,41.86,79,66,3.6
209,Port Alfred,ZA,2022-09-10 23:15:22,-33.5906,26.891,61.18,94,99,5.01
210,Portland,US,2022-09-10 23:13:44,45.5234,-122.6762,94.35,12,100,19.57
211,Auki,SB,2022-09-10 23:15:23,-8.7676,160.7034,82.89,68,15,2.57
