,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Los Llanos De Aridane,ES,67.12,overcast clouds,28.6585,-17.9182,Valle Aridane
285,Yenagoa,NG,72.3,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
290,Galle,LK,78.6,scattered clouds,6.0367,80.217,Amangalla
294,Taveta,KE,64.87,scattered clouds,-3.3963,37.6736,Challa Hotel
295,Port Macquarie,AU,70.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
296,Kasongo,CD,74.1,overcast clouds,-4.45,26.6667,Guest Hôtel
297,New Ulm,US,62.92,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
303,Mahibadhoo,MV,82.74,broken clouds,3.7833,72.9667,Omadhoo Inn
305,Abha,SA,66.02,clear sky,18.2164,42.5053,Abha Hotel
306,Kon Tum,VN,67.66,moderate rain,14.35,108.0,Hoa đà spa- homestay
309,Basco,PH,82.53,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
310,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
311,Slave Lake,CA,64.38,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
312,Monaco-Ville,FR,66.24,clear sky,43.731,7.4248,Le Méridien Beach Plaza
313,Peniche,PT,62.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
314,Xiamen,CN,83.25,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
317,Indramayu,ID,80.78,broken clouds,-6.3264,108.32,Grand Trisula Hotel
318,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
319,Razole,IN,75.02,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
322,Moron,AR,66.0,few clouds,-34.6534,-58.6198,Hotel Morón
323,Ahuimanu,US,87.51,clear sky,21.4447,-157.8378,Paradise Bay Resort
325,Nong Ki,TH,73.51,overcast clouds,14.6868,102.538,บ้านเพ็ชรจำปา
